trat,LOCAL_YEAR,sev,yld
7,5_2021,0,4326.9476372924655
7,5_2021,0,4545.146871008939
7,5_2021,0,4148.004469987229
8,5_2021,0,4004.6296296296296
8,5_2021,0,4750
8,5_2021,0,4485.312899106003
8,5_2021,0,4468.103448275862
9,5_2021,0,4138.4578544061305
9,5_2021,0,4359.163473818646
9,5_2021,0,4538.186462324393
9,5_2021,0,4371.98275862069
10,5_2021,0.25,4013.888888888889
10,5_2021,0.5,4316.331417624521
10,5_2021,0.5,4223.371647509579
10,5_2021,0,4527.777777777777
11,5_2021,0,4444.444444444444
11,5_2021,0,4366.443167305237
11,5_2021,0,4888.88888888889
11,5_2021,0,4092.832056194126
1,6_2021,53.5,3753.246168582376
1,6_2021,50,3520.93390804598
1,6_2021,52,3447.99361430396
1,6_2021,53.5,4059.0842911877394
2,6_2021,53.5,3864.7629310344823
2,6_2021,54,3488.5057471264367
2,6_2021,54,3809.375
2,6_2021,49,3764.094827586207
3,6_2021,21,4010.5747126436777
3,6_2021,17.5,4692.420977011494
3,6_2021,15,4387.873563218391
3,6_2021,17.5,3840.5172413793102
4,6_2021,28,3205.150862068965
4,6_2021,29,4482.442528735632
4,6_2021,26,4114.583333333333
4,6_2021,29,3763.9367816091954
5,6_2021,20,4142.392241379311
5,6_2021,19,4972.808908045977
5,6_2021,22,3609.116379310345
5,6_2021,21.5,3855.3879310344823
6,6_2021,10.5,4213.19540229885
6,6_2021,14,4223.97190293742
6,6_2021,11.5,4480.57343550447
6,6_2021,16.5,4675.989782886333
7,6_2021,19.5,3839.310344827586
7,6_2021,17.5,4477.658045977011
7,6_2021,18,4058.390804597701
7,6_2021,18,3807.3275862068967
8,6_2021,23.5,3786.2931034482754
8,6_2021,22,4168.189655172414
8,6_2021,24,3721.9827586206898
8,6_2021,24.5,4056.6235632183907
9,6_2021,19.5,3974.6192528735633
9,6_2021,20,4225.890804597701
9,6_2021,24,3642.2413793103447
9,6_2021,21.5,4035.7902298850577
10,6_2021,28.5,3853.125
10,6_2021,31.5,3875.625
10,6_2021,35,3985.086206896552
10,6_2021,31.5,3993.4913793103447
11,6_2021,25,4399.885057471264
11,6_2021,21,3739.2097701149423
11,6_2021,28,3402.442528735632
11,6_2021,23.5,3666.508620689656
1,7_2021,35,3468.3524904214555
1,7_2021,38,4095.121328224777
1,7_2021,38,3512.8565346956157
1,7_2021,35,3606.411238825032
2,7_2021,30.1,3648.1907194550877
2,7_2021,28,3875.0191570881225
2,7_2021,29,3789.8680289484887
2,7_2021,28.5,3838.8250319284803
3,7_2021,24.3,3678.0246913580245
3,7_2021,22.3,3963.5249042145597
3,7_2021,25.3,4137.0268199233715
3,7_2021,25.3,3896.296296296296
4,7_2021,26.9,3945.0744997871434
4,7_2021,25.3,3964.240102171137
4,7_2021,26.3,3523.4227330779054
4,7_2021,26.9,4109.237973605789
5,7_2021,28.7,4254.235845040443
5,7_2021,28.5,3723.6781609195396
5,7_2021,28.9,3692.0987654320984
5,7_2021,29,3696.1430395913153
6,7_2021,28,4088.641975308641
6,7_2021,28.5,3734.406130268199
6,7_2021,27.2,3999.1485738612178
6,7_2021,27.5,3944.8888888888887
7,7_2021,28.3,3968.2588335461896
7,7_2021,27.3,3947.1077054065563
7,7_2021,28.3,3740.280970625798
7,7_2021,28.5,4222.477650063856
8,7_2021,27.4,4003.8825031928477
8,7_2021,27.2,4061.072796934866
8,7_2021,27.6,3603.2354193273736
8,7_2021,27,3898.101319710515
9,7_2021,18.9,4398.399318859089
9,7_2021,18.5,3851.4687100894
9,7_2021,18.1,4383.218390804598
9,7_2021,18,4383.218390804598
10,7_2021,25.2,4143.039591315453
10,7_2021,24.2,3584.5721583652626
10,7_2021,24.3,3988.6590038314175
10,7_2021,25,3904.027245636441
11,7_2021,26.1,4322.571306939122
11,7_2021,25.5,3641.021711366539
11,7_2021,25.1,4761.191996594295
11,7_2021,26,4188.567049808429
1,8_2021,40,3182.630906450575
1,8_2021,40,3469.9872282609194
1,8_2021,35,3549.638143536053
1,8_2021,35,3351.5112810611877
2,8_2021,35,3000.1702849277394
2,8_2021,35,3995.5725836787733
2,8_2021,35,3740.8045973270687
2,8_2021,35,3285.142613549732
3,8_2021,35,3423.201361939502
3,8_2021,35,4229.714771820535
3,8_2021,30,3438.505746782586
3,8_2021,30,3687.2073218960727
4,8_2021,20,4272.860791399023
4,8_2021,20,4060.387398487108
4,8_2021,20,4179.4806296373945
4,8_2021,25,3553.873988576073
5,8_2021,25,3294.0613023525857
5,8_2021,20,4058.5355466354413
5,8_2021,30,4178.927202647242
5,8_2021,25,3692.464878302528
6,8_2021,20,3122.22222191
6,8_2021,15,4518.24180457159
6,8_2021,20,3902.4691354122224
6,8_2021,20,4209.621114947279
7,8_2021,35,3188.0800337382375
7,8_2021,30,4363.771817358429
7,8_2021,35,3289.910599926436
7,8_2021,35,3691.570880856896
8,8_2021,20,3155.896125695479
8,8_2021,25,4732.545763681705
8,8_2021,30,3683.269476004598
8,8_2021,30,3483.695189093946
9,8_2021,10,3580.246913222222
9,8_2021,10,4471.22179606203
9,8_2021,15,4334.482758187241
9,8_2021,15,4318.965516809482
10,8_2021,25,3719.114516443755
10,8_2021,25,4298.2758616391375
10,8_2021,20,4372.286078745402
10,8_2021,30,4112.3882499080455
11,8_2021,20,3900.8088544417624
11,8_2021,15,4280.75776883544
11,8_2021,15,4448.233290317204
11,8_2021,20,3367.2413789736206
1,13_2021,55,3558.107553366174
1,13_2021,65,3505.3923782156544
1,13_2021,70,3497.5075259989053
1,13_2021,70,3376.327312534209
1,13_2021,75,3691.704433497537
2,13_2021,60,3970.785759897829
2,13_2021,75,3848.048918992884
2,13_2021,55,3835.174055829229
2,13_2021,65,4213.808018609743
2,13_2021,65,3870.931741470535
3,13_2021,58,4084.6578407224965
3,13_2021,25,4155.782019704434
3,13_2021,30,4595.463669950739
3,13_2021,43,4591.693349753695
3,13_2021,18,3931.0790914066783
4,13_2021,48,4021.408045977012
4,13_2021,40,4197.2980523627075
4,13_2021,47,4123.315772669221
4,13_2021,40,4209.485039226419
4,13_2021,50,4011.6468253968255
5,13_2021,55,3570.854885057471
5,13_2021,45,3626.979520160555
5,13_2021,40,4255.521734172597
5,13_2021,40,3756.379310344828
5,13_2021,40,3740.7658730158732
6,13_2021,45,4279.843367998541
6,13_2021,35,3127.333607006021
6,13_2021,40,3940.1842273307793
6,13_2021,35,4532.996122970261
6,13_2021,30,4156.66890166028
7,13_2021,35,4266.10775862069
7,13_2021,35,4334.314814814815
7,13_2021,30,3959.2103630724323
7,13_2021,35,4292.52422003284
7,13_2021,20,4210.356595511768
8,13_2021,25,3801.247080824667
8,13_2021,25,3691.4314449917897
8,13_2021,25,4468.590676883779
8,13_2021,35,4437.848111658456
8,13_2021,25,4162.6015325670505
9,13_2021,18,4643.83908045977
9,13_2021,12,4248.251778872469
9,13_2021,20,4175.895320197044
9,13_2021,20,4048.5478243021344
9,13_2021,10,4579.978562306149
10,13_2021,35,3573.7531472359055
10,13_2021,50,3444.79374201788
10,13_2021,52,4423.103562306149
10,13_2021,55,3939.146825396825
10,13_2021,45,3844.169403393542
11,13_2021,30,3574.4792464878674
11,13_2021,35,4262.11498814085
11,13_2021,35,4462.956349206349
11,13_2021,30,4258.45929118774
11,13_2021,40,3941.0634920634925
