trat,LOCAL_YEAR,sev,yld
1,4_2021,28,4208.081736909323
1,4_2021,28,4220.3763303533415
1,4_2021,29,4252.001702852277
1,4_2021,27,4433.079608343976
2,4_2021,12,4073.2226479352917
2,4_2021,13,4295.921668795232
2,4_2021,13,4104.541507024266
2,4_2021,14,4405.026819923372
3,4_2021,9,4210.734780757769
3,4_2021,9.5,4515.402298850575
3,4_2021,9,4236.696466581524
3,4_2021,10,4318.3754789272025
4,4_2021,8,4586.911877394636
4,4_2021,8.5,4224.745849297573
4,4_2021,9,4017.232865048957
4,4_2021,8,4394.782460621541
5,4_2021,11,4512.967220093657
5,4_2021,10,4120.241805023414
5,4_2021,11,4237.094934014474
5,4_2021,10.5,4236.362707535121
6,4_2021,8.5,4162.213707960835
6,4_2021,9,4719.989782886334
6,4_2021,9.5,4127.073648361004
6,4_2021,9,4329.0251170710935
7,4_2021,11,4267.075351213282
7,4_2021,11,4342.927203065134
7,4_2021,11,4154.087696892295
7,4_2021,11,4413.854406130268
8,4_2021,7.5,4226.779054916986
8,4_2021,8,4912.02043422733
8,4_2021,8.5,4101.026819923371
8,4_2021,8,4402.9765857811835
9,4_2021,2.5,4421.404853128992
9,4_2021,2.8,4334.814814814815
9,4_2021,2.5,4474.469135802469
9,4_2021,3,4528.619838229033
10,4_2021,12,4273.103448275862
10,4_2021,12,4194.901660280971
10,4_2021,12,4158.3652618135375
10,4_2021,12,4416.701575138356
11,4_2021,7,4573.0166028097055
11,4_2021,7,4205.312899106002
11,4_2021,7.5,3783.438058748404
11,4_2021,8,5003.095785440613
1,5_2021,7.5,3995.0510855683274
1,5_2021,5,3881.393678160919
1,5_2021,4,3844.9233716475105
1,5_2021,5,3758.6206896551726
2,5_2021,0,4383.987867177522
2,5_2021,0,4064.3678160919535
2,5_2021,0.5,4102.187100893998
2,5_2021,0,4027.7298850574707
3,5_2021,0,4386.853448275862
3,5_2021,0,4296.599616858237
3,5_2021,0,4809.6424010217115
3,5_2021,0,4468.582375478927
4,5_2021,0,4506.944444444444
4,5_2021,0,4169.939335887612
4,5_2021,0,4861.111111111111
4,5_2021,0,4290.469348659005
5,5_2021,0,4020.8333333333335
5,5_2021,0.5,4618.358876117497
5,5_2021,0.25,4422.461685823755
5,5_2021,0,4077.3946360153254
6,5_2021,0,4550.359195402299
6,5_2021,0,3735.4246487867176
6,5_2021,0,4293.295019157088
6,5_2021,0,4403.575989782887
7,5_2021,0,4362.843231162197
