trat,LOCAL_YEAR,sev,yld
1,1_2023,55,4641.4655172413795
1,1_2023,60,4486.0344827586205
1,1_2023,60,4331.752873563218
1,1_2023,55,4455.172413793103
2,1_2023,28,4759.913793103448
2,1_2023,30,4578.520114942529
2,1_2023,25,4830.431034482759
2,1_2023,35,5060.474137931034
3,1_2023,16,5295.258620689656
3,1_2023,22,5401.03448275862
3,1_2023,20,5006.206896551724
3,1_2023,18,5333.103448275862
4,1_2023,15,4866.7385057471265
4,1_2023,22,4989.310344827587
4,1_2023,25,4865.28735632184
4,1_2023,22,5133.60632183908
5,1_2023,28,4719.137931034483
5,1_2023,28,5109.784482758621
5,1_2023,33,4895.172413793103
5,1_2023,30,4593.563218390805
6,1_2023,16,5109.310344827587
6,1_2023,20,4788.793103448276
6,1_2023,18,5101.724137931035
6,1_2023,25,5356.494252873564
7,1_2023,15,5592.413793103447
7,1_2023,20,5436.724137931035
7,1_2023,18,5263.807471264367
7,1_2023,15,5206.249999999999
8,1_2023,15,5570.2011494252865
8,1_2023,12,5291.508620689655
8,1_2023,15,5244.48275862069
8,1_2023,15,5493.620689655172
9,1_2023,22,5409.885057471264
9,1_2023,20,4818.505747126437
9,1_2023,20,5312.298850574712
9,1_2023,18,4983.218390804597
1,2_2023,41.5,4008
1,2_2023,41.3,4236
1,2_2023,40.7,3924.000000000001
1,2_2023,46.5,4032
2,2_2023,22,4410
2,2_2023,19.5,4326
2,2_2023,20.4,4584
2,2_2023,23.9,4554
3,2_2023,11.8,5436
3,2_2023,11.5,5442
3,2_2023,10.7,5478
3,2_2023,12.4,5142
4,2_2023,21.1,4632
4,2_2023,19.2,4890
4,2_2023,20.3,4356
4,2_2023,18.5,4524
5,2_2023,16.6,4752
5,2_2023,17.5,4644
5,2_2023,16.8,5010
5,2_2023,15.1,4914
6,2_2023,13.8,5112
6,2_2023,14.2,4986
6,2_2023,13.7,5052
6,2_2023,16.5,5196
7,2_2023,15.2,4962
7,2_2023,15.1,5094
7,2_2023,14.7,4812
7,2_2023,16.5,4890
8,2_2023,13.7,5166
8,2_2023,13.8,5190
8,2_2023,14,5232
8,2_2023,15.5,4962
9,2_2023,12.6,5358
9,2_2023,12.1,5430
9,2_2023,10.7,5562
9,2_2023,14.5,5190
1,3_2023,50,4198.05
