trat,LOCAL_YEAR,sev,yld
1,1_2022,30,4315.134099616858
1,1_2022,29,4157.72669220945
1,1_2022,33,4399.361430395913
1,1_2022,32,4143.007662835249
2,1_2022,26,4108.131119625373
2,1_2022,24,4269.763729246487
2,1_2022,24,4093.284376330353
2,1_2022,26,4440.389527458494
3,1_2022,22,4152.043422733078
3,1_2022,20,4477.607492550022
3,1_2022,22,4181.832694763728
3,1_2022,24,4300.542784163474
4,1_2022,12,4311.196253724989
4,1_2022,11,4575.053214133674
4,1_2022,13,4410.451255853554
4,1_2022,12,4636.696466581523
5,1_2022,11,4288.888888888889
5,1_2022,11,4894.934014474245
5,1_2022,12,4767.45423584504
5,1_2022,11,4261.387824606215
6,1_2022,13,4300.127713920817
6,1_2022,14,4900.063856960409
6,1_2022,14,4906.130268199234
6,1_2022,13,4315.134099616857
7,1_2022,13,4236.3133248190725
7,1_2022,11,4686.41975308642
7,1_2022,12,4406.417624521072
7,1_2022,11,4590.27245636441
8,1_2022,13,4260.706683695189
8,1_2022,11,4724.010217113664
8,1_2022,11,4687.222222222222
8,1_2022,11,4828.38441890166
9,1_2022,13,5085.163899531715
9,1_2022,12,4746.126011068539
9,1_2022,13,4540.017028522776
9,1_2022,15,4736.302681992337
10,1_2022,11,4693.333333333333
10,1_2022,12,5195.317156236696
10,1_2022,13,4195.487441464453
10,1_2022,12,4642.869306087697
1,3_2022,11.845,3147.8612413793103
1,3_2022,9.87,4517.577562790698
1,3_2022,10.39,3672.598932558139
1,3_2022,12.099999999999998,3866.659007441861
2,3_2022,12.279999999999998,3706.2549267441864
2,3_2022,10.455000000000002,4029.6444576744184
2,3_2022,13.07,4062.129920930233
2,3_2022,12.189999999999998,3759.016673023256
3,3_2022,13.605,3817.4553651162782
3,3_2022,7.56,4686.015154883721
3,3_2022,8.440000000000001,4524.357856744186
3,3_2022,11.515789473684212,5520.683810697674
4,3_2022,6.760000000000001,4597.395886046512
4,3_2022,5.190000000000001,4070.889523255814
4,3_2022,6.880000000000003,3423.815890697674
4,3_2022,6.800000000000002,4288.484246511628
5,3_2022,6.49,4170.539689534884
5,3_2022,9.180000000000003,3926.3457490697665
5,3_2022,6.640000000000002,3981.53124372093
5,3_2022,12.325,4029.32404744186
6,3_2022,9.285,4838.034306511628
6,3_2022,10.51,4227.851777906977
6,3_2022,6.640000000000001,3506.9416744186046
6,3_2022,7.440000000000002,4127.555623255814
7,3_2022,9.285,3996.735226046511
7,3_2022,10.885000000000003,4741.712272325581
7,3_2022,8.97,4889.976939534883
7,3_2022,8.455,4677.216793255815
8,3_2022,18.764999999999983,4737.200689534883
8,3_2022,6.675000000000002,4365.589418604652
8,3_2022,17.664999999999992,4268.329409302326
8,3_2022,11.134999999999998,4004.3759765116274
9,3_2022,8.35,4051.949144186046
9,3_2022,7.175000000000002,4553.825262325581
9,3_2022,8.680000000000001,4463.870089534885
9,3_2022,11.55,4482.577912790698
10,3_2022,7.0550000000000015,3821.935940465116
10,3_2022,10.240000000000002,4435.475024651163
10,3_2022,7.280000000000001,4363.573934883721
10,3_2022,18.304999999999996,4058.057610232558
1,4_2022,50.5,4162.887931034483
1,4_2022,46.5,4141.163793103448
1,4_2022,50,4421.609195402299
1,4_2022,48.5,4149.770114942528
2,4_2022,43.5,4957.212643678161
2,4_2022,40,4833.793103448275
2,4_2022,41,4334.7988505747135
2,4_2022,42.5,4425.258620689656
3,4_2022,36,4665.172413793104
3,4_2022,37.5,4416.752873563219
3,4_2022,31.5,4943.735632183909
3,4_2022,36.5,4771.192528735632
4,4_2022,24.5,4860.948275862069
4,4_2022,21.5,5264.583333333334
4,4_2022,23,4684.482758620689
4,4_2022,24,4847.2844827586205
5,4_2022,29,4658.017241379311
5,4_2022,27,4898.793103448275
5,4_2022,29.5,4842.040229885058
5,4_2022,32,4814.1594827586205
6,4_2022,14.5,5533.750000000001
6,4_2022,17.5,4617.9094827586205
6,4_2022,16.75,4827.025862068966
6,4_2022,17.5,5531.702586206895
7,4_2022,16,5148.189655172413
7,4_2022,15,5120.172413793105
7,4_2022,16,5063.505747126437
7,4_2022,17.5,4941.041666666666
8,4_2022,16.5,4562.471264367816
8,4_2022,18,4782.35632183908
8,4_2022,16,4858.045977011494
8,4_2022,16.5,5566.810344827586
9,4_2022,16,4967.7801724137935
9,4_2022,16.5,5543.520114942528
9,4_2022,16,4748.541666666667
9,4_2022,17.5,5031.1781609195405
10,4_2022,17.5,4482.974137931034
10,4_2022,15,5031.724137931034
10,4_2022,20,5176.925287356321
10,4_2022,20,5280.000000000001
1,6_2022,21,3897.2
1,6_2022,20,3942.4
1,6_2022,24.7,3961.6
1,6_2022,24,3933.6
2,6_2022,13.2,4758.8
2,6_2022,13.4,4518.4
2,6_2022,14.3,4870
2,6_2022,13.7,4715.6
3,6_2022,8.5,4590
3,6_2022,10.1,4641.6
3,6_2022,9.7,4537.6
3,6_2022,9.9,4589.6
4,6_2022,9.6,4612.8
4,6_2022,9.3,4549.6
4,6_2022,11,4678.8
4,6_2022,9.8,4613.6
5,6_2022,9.3,4582.4
5,6_2022,9.5,4786.8
5,6_2022,9,4338
5,6_2022,9.1,4568.8
6,6_2022,9.5,4522
6,6_2022,9.5,4044
6,6_2022,10.5,5012
6,6_2022,10.3,4526
7,6_2022,9,4596.4
7,6_2022,9,4707.6
7,6_2022,9.3,4046
7,6_2022,9.4,4450
8,6_2022,9.8,4163.2
8,6_2022,9.4,4195.2
8,6_2022,8.9,4140.8
8,6_2022,9.9,4166.4
9,6_2022,10.2,4388.8
9,6_2022,9,4355.6
9,6_2022,9.1,4354.4
9,6_2022,9,4366
10,6_2022,8,4406
10,6_2022,8.1,4165.6
10,6_2022,9,4626.4
10,6_2022,9.8,4399.32
1,7_2022,24.7,3008
1,7_2022,24.700000000000003,2971.2
1,7_2022,24.9,3048
1,7_2022,24.1,3009.2
2,7_2022,17.5,3729.6
2,7_2022,17.2,3604.8
2,7_2022,16,3830
2,7_2022,17.9,3721.6
3,7_2022,10.5,3816
3,7_2022,10.7,3954.4
3,7_2022,11.1,3698
3,7_2022,11.1,3822.8
4,7_2022,10.5,3882
4,7_2022,9.9,3957.6
4,7_2022,11,3817.2
4,7_2022,10.7,3885.6
5,7_2022,10.5,3772.4
5,7_2022,9.9,3661.2
5,7_2022,10.4,3859.2
5,7_2022,10.1,3764.4
6,7_2022,11,3831.2
6,7_2022,12.1,3775.6
6,7_2022,9.8,3919.6
6,7_2022,10.1,3842
7,7_2022,11.8,3936
7,7_2022,10.3,3906.4
7,7_2022,11.5,4023.2
7,7_2022,11.4,3955.2
8,7_2022,8.8,3871.2
8,7_2022,7.4,3926.4
8,7_2022,10.2,3776
8,7_2022,10.2,3858
9,7_2022,9.4,3821.2
9,7_2022,9.4,3739.6
9,7_2022,10.1,3926.8
9,7_2022,9.3,3829.2
10,7_2022,9.3,3836.4
10,7_2022,9.5,3865.6
10,7_2022,9.3,3818.4
10,7_2022,9.2,3840.4
1,10_2022,5,4058.1098339719033
1,10_2022,7.5,4137.292464878672
1,10_2022,6,4246.982758620689
1,10_2022,7.5,4081.130268199234
2,10_2022,5,3883.0779054916984
2,10_2022,9,4372.567049808428
2,10_2022,7.5,4354.1602809706255
2,10_2022,8,4447.356321839081
3,10_2022,2.5,5347.222222222222
3,10_2022,6,4422.812899106003
3,10_2022,7.5,3857.8352490421457
3,10_2022,2.5,4324.578544061302
4,10_2022,1.25,4343.295019157088
4,10_2022,4,4249.099616858238
4,10_2022,2,4438.89846743295
4,10_2022,2.5,4193.831417624521
5,10_2022,1,4122.445721583653
5,10_2022,3,4239.904214559387
5,10_2022,2.5,4026.787994891443
5,10_2022,4,4317.088122605364
6,10_2022,2.5,4526.309067688378
6,10_2022,0.25,4673.659003831418
6,10_2022,0.25,4521.277139208173
6,10_2022,0.75,4020.1468710089393
7,10_2022,0.25,4315.753512132823
7,10_2022,4,3622.6372924648786
7,10_2022,2.5,5013.425925925926
7,10_2022,1.25,4476.293103448276
8,10_2022,4,4509.578544061303
8,10_2022,6,4975.8141762452115
8,10_2022,5,4390.277777777777
8,10_2022,6,4208.065134099617
9,10_2022,2.5,4637.611749680716
9,10_2022,6,4702.704342273308
9,10_2022,3,4560.759897828863
9,10_2022,5,4419.41251596424
10,10_2022,1,4544.106002554278
10,10_2022,4,3772.9310344827586
10,10_2022,2,4159.003831417625
10,10_2022,2.5,4548.243933588761
1,11_2022,13,4746.934865900384
1,11_2022,23.5,4583.333333333333
1,11_2022,13,4622.681992337164
1,11_2022,21.5,4617.410600255428
2,11_2022,10.5,4965.172413793104
2,11_2022,10.5,5075
2,11_2022,6,5086.925287356321
2,11_2022,6,4922.6245210727975
3,11_2022,6.5,4980.469348659003
3,11_2022,8.5,5887.959770114941
3,11_2022,8,4681.61877394636
3,11_2022,6,4669.412515964239
4,11_2022,2,4852.902298850574
4,11_2022,1.5,5102.777777777777
4,11_2022,1,4905.363984674329
4,11_2022,2,5186.143039591316
5,11_2022,3.5,5259.3295019157085
5,11_2022,1.5,4985.306513409962
5,11_2022,4,4621.973180076628
5,11_2022,4,4841.554916985951
6,11_2022,1,5289.431673052363
6,11_2022,1.5,4500.718390804598
6,11_2022,1,5574.291187739464
6,11_2022,1,5213.888888888889
7,11_2022,1,4867.816091954023
7,11_2022,4,5179.597701149426
7,11_2022,0.5,5300.191570881226
7,11_2022,3,5159.396551724138
8,11_2022,2,5577.1551724137935
8,11_2022,2,5578.30779054917
8,11_2022,4,5083.039591315453
8,11_2022,1.5,5227.838441890166
9,11_2022,1,5535.632183908046
9,11_2022,2,5367.867177522349
9,11_2022,1,5039.677522349936
9,11_2022,2,5202.298850574713
10,11_2022,3,4991.219667943807
10,11_2022,3.5,5370.651340996168
10,11_2022,4.5,5367.378671775225
10,11_2022,1,4763.017241379311
1,12_2022,25,3506.3492063492063
1,12_2022,35,3275.604953475644
1,12_2022,30,3719.943212917351
1,12_2022,35,4085.861521620143
2,12_2022,15,3787.586480569239
2,12_2022,25,3899.3840996168583
2,12_2022,15,3919.411375661375
2,12_2022,20,3653.581463236635
3,12_2022,15,3702.59076810801
3,12_2022,20,4020.0181992337166
3,12_2022,20,3879.321040868455
3,12_2022,18,4373.298166392994
4,12_2022,5,4014.6551724137935
4,12_2022,2,3992.387087210364
4,12_2022,3,4165.84564860427
4,12_2022,3,4493.42378215654
5,12_2022,2,4037.909688013137
5,12_2022,2,3852.3201058201057
5,12_2022,5,4354.392857142858
5,12_2022,3,4525.374384236454
6,12_2022,2,4329.391762452107
6,12_2022,4,4063.70171957672
6,12_2022,2,4335.43035030104
